1774375608135-0 | STATUS   | Running on node s02
1774375897200-0 | PROGRESS | 108.0
1774375919584-0 | PROGRESS | 110.0
1774375922118-0 | PROGRESS | 112.0
1774375924522-0 | PROGRESS | 114.0
1774375942717-0 | PROGRESS | 116.0
1774375955699-0 | PROGRESS | 118.0
1774375969078-0 | PROGRESS | 120.0
1774375976624-0 | PROGRESS | 122.0
1774375987228-0 | PROGRESS | 124.0
1774376017182-0 | PROGRESS | 126.0
1774376057920-0 | PROGRESS | 128.0
1774376074817-0 | PROGRESS | 130.0
1774376130961-0 | PROGRESS | 132.0
1774376143549-0 | PROGRESS | 134.0
1774376161141-0 | PROGRESS | 136.0
1774376177499-0 | PROGRESS | 138.0
1774376179365-0 | PROGRESS | 140.0
1774376195643-0 | PROGRESS | 142.0
1774376200238-0 | PROGRESS | 144.0
1774376202512-0 | PROGRESS | 146.0
1774376451212-0 | PROGRESS | 148.0
1774376493354-0 | PROGRESS | 150.0
1774376537789-0 | PROGRESS | 152.0
1774376540218-0 | PROGRESS | 154.0
1774376549431-0 | PROGRESS | 156.0
1774376568151-0 | PROGRESS | 158.0
1774376600521-0 | PROGRESS | 160.0
1774376628693-0 | PROGRESS | 162.0
1774376633328-0 | PROGRESS | 164.0
1774376684087-0 | PROGRESS | 166.0
1774376688818-0 | PROGRESS | 168.0
1774376714630-0 | PROGRESS | 170.0
1774376724237-0 | PROGRESS | 172.0
1774376733015-0 | PROGRESS | 174.0
1774376745271-0 | PROGRESS | 176.0
1774376783153-0 | PROGRESS | 178.0
1774376830621-0 | PROGRESS | 180.0
1774376858836-0 | PROGRESS | 182.0
1774376884026-0 | PROGRESS | 184.0
1774376961467-0 | PROGRESS | 186.0
1774376963246-0 | PROGRESS | 188.0
1774376988629-0 | PROGRESS | 190.0
1774377073836-0 | PROGRESS | 192.0
1774377088186-0 | PROGRESS | 194.0
1774377090727-0 | PROGRESS | 196.0
1774377126052-0 | PROGRESS | 198.0
1774377196230-0 | PROGRESS | 200.0
1774377196238-0 | STATUS   | Postprocessing Output
1774377196238-1 | STATUS   | Postprocessing Hector output
1774377199916-0 | STATUS   | Transferring Output
1774377199916-1 | LOG      | Transferring files from the worker to the server...
1774377202676-0 | STATUS   | Run finished
