1774346518158-0 | STATUS   | Running on node s02
1774346518160-0 | STATUS   | Preparing run
1774346518172-0 | STATUS   | Preparing Hector
1774346518173-0 | STATUS   | Preprocessing Input File
1774346518173-1 | STATUS   | Preprocessing Hector
1774346526441-0 | STATUS   | Running Tool
1774346526441-1 | STATUS   | Running Hector: Mapping
1774346526455-0 | LOG      | HECTOR searched started
1774346526457-0 | LOG      | For map 1 the clusters are being searched...
1774346526458-0 | LOG      | RAM per map allowed: 3.921385700814426 GB
1774346526458-1 | LOG      | RAM free: 24.705196380615234 GB
1774346529547-0 | LOG      | For map 1 the unique pdb names are searched...
1774346529609-0 | LOG      | For map 2 the clusters are being searched...
1774346530653-0 | LOG      | For map 2 the unique pdb names are searched...
1774346530707-0 | LOG      | Get the intersection of the clusters...
1774346530712-0 | LOG      | Build subject dict for map 1
1774346530713-0 | LOG      | RAM free: 24.74258804321289 GB
1774346530713-1 | LOG      | loading cluster 1... (clstr_0618.npz)
1774346538467-0 | PROGRESS | 1.4285714285714284
1774346538468-0 | LOG      | loading cluster 2... (clstr_0486.npz)
1774346552100-0 | PROGRESS | 2.8571428571428568
1774346552100-1 | LOG      | loading cluster 3... (clstr_0109.npz)
1774346562888-0 | PROGRESS | 4.285714285714286
1774346562888-1 | LOG      | loading cluster 4... (clstr_0684.npz)
1774346568114-0 | PROGRESS | 5.7142857142857135
1774346568115-0 | LOG      | loading cluster 5... (clstr_0253.npz)
1774346572797-0 | PROGRESS | 7.142857142857143
1774346572797-1 | LOG      | loading cluster 6... (clstr_0602.npz)
1774346574209-0 | PROGRESS | 8.571428571428571
1774346574209-1 | LOG      | loading cluster 7... (clstr_0583.npz)
1774346574394-0 | PROGRESS | 10.0
1774346575679-0 | LOG      | RAM free: 24.75165557861328 GB
1774346575679-1 | LOG      | Build subject dict for map 2
1774346575679-2 | LOG      | loading cluster 1... (clstr_0618.npz)
1774346578174-0 | PROGRESS | 12.5
1774346578175-0 | LOG      | loading cluster 2... (clstr_0109.npz)
1774346581508-0 | PROGRESS | 15.0
1774346581509-0 | LOG      | loading cluster 3... (clstr_0830.npz)
1774346626427-0 | PROGRESS | 17.5
1774346626428-0 | LOG      | loading cluster 4... (clstr_0735.npz)
1774346627418-0 | PROGRESS | 20.0
1774346628954-0 | LOG      | RAM free: 24.876724243164062 GB
1774346628955-0 | LOG      | mapping the 13893 pdbs we have in common... 
1774346628962-0 | PROGRESS | 21.001943424746276
1774346628970-0 | PROGRESS | 22.00388684949255
1774346628978-0 | PROGRESS | 23.005830274238825
1774346628989-0 | PROGRESS | 24.0077736989851
1774346628996-0 | PROGRESS | 25.009717123731377
1774346629004-0 | PROGRESS | 26.01166054847765
1774346629013-0 | PROGRESS | 27.013603973223926
1774346629025-0 | PROGRESS | 28.015547397970202
1774346629036-0 | PROGRESS | 29.017490822716475
1774346629044-0 | PROGRESS | 30.01943424746275
1774346629053-0 | PROGRESS | 31.021377672209027
1774346629064-0 | PROGRESS | 32.0233210969553
1774346629074-0 | PROGRESS | 33.02526452170157
1774346629084-0 | PROGRESS | 34.02720794644785
1774346629093-0 | PROGRESS | 35.029151371194125
1774346629104-0 | PROGRESS | 36.031094795940405
1774346629114-0 | PROGRESS | 37.03303822068668
1774346629120-0 | PROGRESS | 38.03498164543295
1774346629133-0 | PROGRESS | 39.03692507017922
1774346629144-0 | PROGRESS | 40.0388684949255
1774346629152-0 | PROGRESS | 41.040811919671775
1774346629162-0 | PROGRESS | 42.042755344418055
1774346629172-0 | PROGRESS | 43.04469876916433
1774346629184-0 | PROGRESS | 44.0466421939106
1774346629194-0 | PROGRESS | 45.04858561865688
1774346629206-0 | PROGRESS | 46.05052904340315
1774346629217-0 | PROGRESS | 47.052472468149425
1774346629227-0 | PROGRESS | 48.054415892895705
1774346629234-0 | PROGRESS | 49.05635931764198
1774346629246-0 | PROGRESS | 50.05830274238825
1774346629255-0 | PROGRESS | 51.06024616713453
1774346629263-0 | PROGRESS | 52.0621895918808
1774346629275-0 | PROGRESS | 53.064133016627075
1774346629283-0 | PROGRESS | 54.066076441373355
1774346629292-0 | PROGRESS | 55.06801986611963
1774346629304-0 | PROGRESS | 56.06996329086591
1774346629318-0 | PROGRESS | 57.07190671561218
1774346629329-0 | PROGRESS | 58.07385014035845
1774346629340-0 | PROGRESS | 59.07579356510473
1774346629354-0 | PROGRESS | 60.077736989851005
1774346629361-0 | PROGRESS | 61.07968041459728
1774346629365-0 | PROGRESS | 62.08162383934355
1774346629376-0 | PROGRESS | 63.08356726408982
1774346629390-0 | PROGRESS | 64.08551068883611
1774346629399-0 | PROGRESS | 65.08745411358238
1774346629409-0 | PROGRESS | 66.08939753832865
1774346629421-0 | PROGRESS | 67.09134096307494
1774346629430-0 | PROGRESS | 68.0932843878212
1774346629440-0 | PROGRESS | 69.09522781256749
1774346629452-0 | PROGRESS | 70.09717123731376
1774346629462-0 | PROGRESS | 71.09911466206003
1774346629474-0 | PROGRESS | 72.1010580868063
1774346629484-0 | PROGRESS | 73.10300151155258
1774346629493-0 | PROGRESS | 74.10494493629885
1774346629504-0 | PROGRESS | 75.10688836104512
1774346629513-0 | PROGRESS | 76.10883178579141
1774346629521-0 | PROGRESS | 77.11077521053767
1774346629529-0 | PROGRESS | 78.11271863528395
1774346629538-0 | PROGRESS | 79.11466206003024
1774346629553-0 | PROGRESS | 80.1166054847765
1774346629562-0 | PROGRESS | 81.11854890952279
1774346629573-0 | PROGRESS | 82.12049233426906
1774346629583-0 | PROGRESS | 83.12243575901533
1774346629590-0 | PROGRESS | 84.1243791837616
1774346629602-0 | PROGRESS | 85.12632260850788
1774346629613-0 | PROGRESS | 86.12826603325415
1774346629621-0 | PROGRESS | 87.13020945800042
1774346629630-0 | PROGRESS | 88.13215288274671
1774346629643-0 | PROGRESS | 89.13409630749298
1774346629651-0 | PROGRESS | 90.13603973223925
1774346629659-0 | PROGRESS | 91.13798315698554
1774346629669-0 | PROGRESS | 92.13992658173181
1774346629681-0 | PROGRESS | 93.14187000647809
1774346629689-0 | PROGRESS | 94.14381343122436
1774346629698-0 | PROGRESS | 95.14575685597063
1774346629706-0 | PROGRESS | 96.1477002807169
1774346629716-0 | PROGRESS | 97.14964370546318
1774346629725-0 | PROGRESS | 98.15158713020946
1774346629734-0 | PROGRESS | 99.15353055495574
1774346629805-0 | STATUS   | Running Hector: Filtering
1774346632759-0 | LOG      | Checking the RMSD for 1991 hits
1774346633090-0 | LOG      | Docking the hits sorted by RMSD  1991 remaining...
1774346636194-0 | PROGRESS | 102.0
1774346639260-0 | PROGRESS | 104.0
1774346641843-0 | PROGRESS | 106.0
1774346644910-0 | PROGRESS | 108.0
1774346648380-0 | PROGRESS | 110.0
1774346650980-0 | PROGRESS | 112.0
1774346653565-0 | PROGRESS | 114.0
1774346656902-0 | PROGRESS | 116.0
1774346665836-0 | PROGRESS | 118.0
1774346670983-0 | PROGRESS | 120.0
1774346673807-0 | PROGRESS | 122.0
1774346682197-0 | PROGRESS | 124.0
1774346692953-0 | PROGRESS | 126.0
1774346701394-0 | PROGRESS | 128.0
1774346707019-0 | PROGRESS | 130.0
1774346710133-0 | PROGRESS | 132.0
1774346712676-0 | PROGRESS | 134.0
1774346720712-0 | PROGRESS | 136.0
1774346730303-0 | PROGRESS | 138.0
1774346751236-0 | PROGRESS | 140.0
1774346768587-0 | PROGRESS | 142.0
1774346774396-0 | PROGRESS | 144.0
1774346791128-0 | PROGRESS | 146.0
1774346805121-0 | PROGRESS | 148.0
1774346806969-0 | PROGRESS | 150.0
1774346809211-0 | PROGRESS | 152.0
1774346819011-0 | PROGRESS | 154.0
1774346824193-0 | PROGRESS | 156.0
1774346826436-0 | PROGRESS | 158.0
1774346843844-0 | PROGRESS | 160.0
1774346848565-0 | PROGRESS | 162.0
1774346858840-0 | PROGRESS | 164.0
1774346861037-0 | PROGRESS | 166.0
1774346890768-0 | PROGRESS | 168.0
1774346893307-0 | PROGRESS | 170.0
1774346899212-0 | PROGRESS | 172.0
1774346901740-0 | PROGRESS | 174.0
1774346912296-0 | PROGRESS | 176.0
1774346941794-0 | PROGRESS | 178.0
1774346951662-0 | PROGRESS | 180.0
1774346957685-0 | PROGRESS | 182.0
1774346959659-0 | PROGRESS | 184.0
1774346962014-0 | PROGRESS | 186.0
1774346964715-0 | PROGRESS | 188.0
1774346966869-0 | PROGRESS | 190.0
1774346971840-0 | PROGRESS | 192.0
