1774368328289-0 | STATUS   | Running on node s03
1774368341762-0 | PROGRESS | 54.32469304229195
1774368341764-0 | PROGRESS | 55.33424283765348
1774368341765-0 | PROGRESS | 56.343792633015006
1774368341767-0 | PROGRESS | 57.353342428376536
1774368341768-0 | PROGRESS | 58.362892223738065
1774368341770-0 | PROGRESS | 59.372442019099594
1774368341772-0 | PROGRESS | 60.38199181446112
1774368341774-0 | PROGRESS | 61.391541609822646
1774368341775-0 | PROGRESS | 62.401091405184175
1774368341777-0 | PROGRESS | 63.4106412005457
1774368341779-0 | PROGRESS | 64.42019099590723
1774368341781-0 | PROGRESS | 65.42974079126876
1774368341782-0 | PROGRESS | 66.43929058663029
1774368341784-0 | PROGRESS | 67.44884038199181
1774368341785-0 | PROGRESS | 68.45839017735334
1774368341787-0 | PROGRESS | 69.46793997271487
1774368341789-0 | PROGRESS | 70.4774897680764
1774368341790-0 | PROGRESS | 71.48703956343793
1774368341792-0 | PROGRESS | 72.49658935879945
1774368341794-0 | PROGRESS | 73.50613915416099
1774368341796-0 | PROGRESS | 74.51568894952251
1774368341798-0 | PROGRESS | 75.52523874488404
1774368341799-0 | PROGRESS | 76.53478854024556
1774368341801-0 | PROGRESS | 77.5443383356071
1774368341802-0 | PROGRESS | 78.55388813096863
1774368341804-0 | PROGRESS | 79.56343792633015
1774368341806-0 | PROGRESS | 80.57298772169167
1774368341807-0 | PROGRESS | 81.5825375170532
1774368341809-0 | PROGRESS | 82.59208731241473
1774368341811-0 | PROGRESS | 83.60163710777627
1774368341813-0 | PROGRESS | 84.61118690313779
1774368341814-0 | PROGRESS | 85.62073669849931
1774368341815-0 | PROGRESS | 86.63028649386084
1774368341817-0 | PROGRESS | 87.63983628922237
1774368341818-0 | PROGRESS | 88.6493860845839
1774368341820-0 | PROGRESS | 89.65893587994543
1774368341822-0 | PROGRESS | 90.66848567530695
1774368341823-0 | PROGRESS | 91.67803547066849
1774368341825-0 | PROGRESS | 92.68758526603001
1774368341827-0 | PROGRESS | 93.69713506139155
1774368341828-0 | PROGRESS | 94.70668485675307
1774368341830-0 | PROGRESS | 95.7162346521146
1774368341831-0 | PROGRESS | 96.72578444747613
1774368341833-0 | PROGRESS | 97.73533424283765
1774368341834-0 | PROGRESS | 98.74488403819919
1774368341836-0 | PROGRESS | 99.75443383356071
1774368341855-0 | STATUS   | Running Hector: Filtering
1774368344646-0 | LOG      | Checking the RMSD for 50 hits
1774368344656-0 | LOG      | Docking the hits sorted by RMSD  50 remaining...
1774368361094-0 | PROGRESS | 102.0
1774368405283-0 | PROGRESS | 104.0
1774368468266-0 | PROGRESS | 200.0
1774368468273-0 | STATUS   | Postprocessing Output
1774368468273-1 | STATUS   | Postprocessing Hector output
1774368468434-0 | STATUS   | Transferring Output
1774368468435-0 | LOG      | Transferring files from the worker to the server...
1774368468664-0 | STATUS   | Run finished
