1774368328289-0 | STATUS   | Running on node s03
1774368328290-0 | STATUS   | Preparing run
1774368328298-0 | STATUS   | Preparing Hector
1774368328299-0 | STATUS   | Preprocessing Input File
1774368328299-1 | STATUS   | Preprocessing Hector
1774368332703-0 | STATUS   | Running Tool
1774368332703-1 | STATUS   | Running Hector: Mapping
1774368332712-0 | LOG      | HECTOR searched started
1774368332714-0 | LOG      | For map 1 the clusters are being searched...
1774368332714-1 | LOG      | RAM per map allowed: 0.33058064710348845 GB
1774368332715-0 | LOG      | RAM free: 11.239677429199219 GB
1774368333086-0 | LOG      | For map 1 the unique pdb names are searched...
1774368333106-0 | LOG      | For map 2 the clusters are being searched...
1774368335006-0 | LOG      | For map 2 the unique pdb names are searched...
1774368335022-0 | LOG      | Get the intersection of the clusters...
1774368335025-0 | LOG      | Build subject dict for map 1
1774368335025-1 | LOG      | RAM free: 11.241924285888672 GB
1774368335026-0 | LOG      | loading cluster 1... (clstr_0910.npz)
1774368337550-0 | PROGRESS | 3.333333333333333
1774368337550-1 | LOG      | loading cluster 2... (clstr_0975.npz)
1774368338269-0 | PROGRESS | 6.666666666666666
1774368338269-1 | LOG      | loading cluster 3... (clstr_0743.npz)
1774368338321-0 | PROGRESS | 10.0
1774368338436-0 | LOG      | RAM free: 11.256935119628906 GB
1774368338436-1 | LOG      | Build subject dict for map 2
1774368338436-2 | LOG      | loading cluster 1... (clstr_0602.npz)
1774368341578-0 | PROGRESS | 20.0
1774368341704-0 | LOG      | RAM free: 11.35739517211914 GB
1774368341704-1 | LOG      | mapping the 5864 pdbs we have in common... 
1774368341706-0 | PROGRESS | 21.00954979536153
1774368341708-0 | PROGRESS | 22.019099590723055
1774368341709-0 | PROGRESS | 23.028649386084584
1774368341711-0 | PROGRESS | 24.03819918144611
1774368341713-0 | PROGRESS | 25.04774897680764
1774368341714-0 | PROGRESS | 26.05729877216917
1774368341716-0 | PROGRESS | 27.066848567530695
1774368341718-0 | PROGRESS | 28.076398362892224
1774368341720-0 | PROGRESS | 29.08594815825375
1774368341722-0 | PROGRESS | 30.09549795361528
1774368341723-0 | PROGRESS | 31.10504774897681
1774368341725-0 | PROGRESS | 32.11459754433834
1774368341726-0 | PROGRESS | 33.12414733969986
1774368341728-0 | PROGRESS | 34.13369713506139
1774368341730-0 | PROGRESS | 35.14324693042292
1774368341732-0 | PROGRESS | 36.15279672578445
1774368341733-0 | PROGRESS | 37.16234652114598
1774368341735-0 | PROGRESS | 38.1718963165075
1774368341736-0 | PROGRESS | 39.181446111869036
1774368341738-0 | PROGRESS | 40.19099590723056
1774368341740-0 | PROGRESS | 41.20054570259209
1774368341741-0 | PROGRESS | 42.21009549795362
1774368341743-0 | PROGRESS | 43.219645293315146
1774368341745-0 | PROGRESS | 44.22919508867667
1774368341747-0 | PROGRESS | 45.2387448840382
1774368341748-0 | PROGRESS | 46.24829467939973
1774368341750-0 | PROGRESS | 47.25784447476126
1774368341752-0 | PROGRESS | 48.26739427012278
1774368341753-0 | PROGRESS | 49.276944065484315
1774368341755-0 | PROGRESS | 50.28649386084584
1774368341757-0 | PROGRESS | 51.29604365620737
1774368341758-0 | PROGRESS | 52.305593451568896
1774368341760-0 | PROGRESS | 53.31514324693042
